Row,TPR,FPR,MCC,RMSE,MAD
BLOC_MCP,0.89 (0.018),0.46 (0.068),0.20 (0.033),0.049 (0.004),0.028 (0.004)
BLOC_SCAD,0.81 (0.062),0.37 (0.086),0.27 (0.054),0.053 (0.004),0.024 (0.004)
SpCov,NaN,NaN,NaN,NaN,NaN
