Row,TPR,FPR,MCC,RMSE,MAD
BLOC_MCP,0.83 (0.022),0.26 (0.029),0.35 (0.017),0.066 (0.003),0.026 (0.001)
BLOC_SCAD,0.87 (0.017),0.32 (0.015),0.32 (0.008),0.065 (0.003),0.028 (0.001)
SpCov,0.25 (0.129),0.13 (0.086),0.12 (0.069),0.117 (0.011),0.034 (0.003)
