Row,TPR,FPR,MCC,RMSE,MAD
BLOC_MCP,0.77 (0.014),0.22 (0.016),0.47 (0.015),0.086 (0.004),0.036 (0.001)
BLOC_SCAD,0.78 (0.014),0.25 (0.018),0.46 (0.020),0.086 (0.003),0.038 (0.001)
SpCov,0.93 (0.012),0.62 (0.037),0.28 (0.019),0.099 (0.005),0.067 (0.005)
