Row,TPR,FPR,MCC,RMSE,MAD
BLOC_MCP,0.66 (0.009),0.03 (0.002),0.34 (0.010),0.027 (0.000),0.003 (0.000)
BLOC_SCAD,0.65 (0.011),0.03 (0.002),0.35 (0.009),0.027 (0.000),0.003 (0.000)
SpCov,0.00 (0.000),0.00 (0.000),0.00 (0.000),0.045 (0.000),0.004 (0.000)
