6.1063,2.4646,0.032712,0.49238,0.28345,0.21344,0.042656
6.9379,3.4782,0.031891,0.36714,0.13552,0.27051,0.043958
7.5258,3.8008,0.033993,0.30762,0.097586,0.26652,0.044122
6.6781,2.8402,0.031899,0.37333,0.14828,0.25906,0.045656
6.7502,3.0658,0.032027,0.39476,0.15483,0.27149,0.045703
6.0811,2.2304,0.033761,0.52619,0.32793,0.19887,0.043045
7.0813,3.2649,0.032283,0.3581,0.11517,0.29077,0.042403
6.3528,2.5383,0.034257,0.51667,0.30069,0.21841,0.040367
6.1832,2.8666,0.032764,0.46524,0.27241,0.19909,0.040556
6.4153,2.5667,0.034567,0.50238,0.26759,0.24054,0.048559
