BLOC_MCP,10.04 (0.150),4.10 (0.068),0.037 (0.001),0.64 (0.008),0.00 (0.000),0.77 (0.005),1.00 (0.000),7361.07 (5.375)
BLOC_SCAD,8.20 (0.793),3.26 (0.338),0.029 (0.004),0.79 (0.020),0.00 (0.000),0.87 (0.013),1.00 (0.000),7536.56 (15.657)
WeiZhaoMCP,6.29 (0.124),2.95 (0.085),0.028 (0.001),0.89 (0.008),0.16 (0.006),0.61 (0.007),1.00 (0.000),1.81 (0.015)
WeiZhaoMCP_Cov,7.05 (0.200),3.44 (0.169),0.030 (0.001),0.89 (0.010),0.17 (0.007),0.60 (0.006),1.00 (0.000),2.11 (0.111)
L1_ADMM,6.92 (0.226),3.34 (0.181),0.032 (0.001),0.90 (0.012),0.23 (0.039),0.55 (0.032),1.00 (0.000),1.01 (0.031)
Lq_BCD_half,6.00 (0.184),2.67 (0.153),0.021 (0.001),0.86 (0.009),0.02 (0.002),0.87 (0.004),1.00 (0.000),8.93 (0.227)
Lq_BCD_zero,6.44 (0.208),2.89 (0.133),0.023 (0.001),0.83 (0.017),0.01 (0.005),0.85 (0.007),1.00 (0.000),8.05 (0.057)
SCAD_BCD,5.66 (0.143),2.56 (0.128),0.022 (0.001),0.92 (0.011),0.09 (0.011),0.74 (0.016),1.00 (0.000),5.45 (0.091)
IRW_ADMM,6.00 (0.182),2.68 (0.153),0.022 (0.001),0.83 (0.015),0.05 (0.013),0.77 (0.020),1.00 (0.000),2.22 (0.031)
Trad_IRW,5.84 (0.167),2.59 (0.153),0.021 (0.001),0.83 (0.011),0.01 (0.004),0.86 (0.007),1.00 (0.000),12.23 (0.113)
soft_thres,7.02 (0.198),3.38 (0.179),0.034 (0.001),0.91 (0.011),0.26 (0.028),0.51 (0.024),0.20 (0.133),0.05 (0.001)
hard_thres,6.54 (0.112),2.73 (0.132),0.022 (0.000),0.74 (0.012),0.00 (0.001),0.82 (0.006),0.00 (0.000),0.05 (0.001)
SCAD_thres,6.35 (0.148),2.93 (0.142),0.027 (0.000),0.88 (0.011),0.15 (0.014),0.62 (0.013),0.00 (0.000),0.10 (0.002)
