10.037,4.097,0.037,0.641,0.000,0.772,1.000,7361.070
8.198,3.262,0.029,0.793,0.000,0.871,1.000,7536.560
6.291,2.952,0.028,0.891,0.159,0.612,1.000,1.811
7.053,3.443,0.030,0.889,0.165,0.602,1.000,2.106
6.919,3.337,0.032,0.904,0.229,0.553,1.000,1.006
5.995,2.671,0.021,0.861,0.016,0.867,1.000,8.931
6.443,2.894,0.023,0.826,0.015,0.851,1.000,8.048
5.662,2.556,0.022,0.917,0.091,0.743,1.000,5.452
5.997,2.678,0.022,0.827,0.050,0.768,1.000,2.219
5.842,2.590,0.021,0.828,0.012,0.859,1.000,12.228
7.024,3.382,0.034,0.910,0.264,0.512,0.200,0.054
6.543,2.734,0.022,0.740,0.004,0.824,0.000,0.052
6.350,2.928,0.027,0.884,0.152,0.620,0.000,0.098
