0.088,0.078,0.000,0.020,0.000,0.015,0.000,54.638
0.490,0.239,0.002,0.043,0.001,0.034,0.000,248.992
0.129,0.093,0.000,0.026,0.022,0.013,0.000,0.019
0.152,0.134,0.000,0.023,0.020,0.010,0.000,0.024
0.112,0.113,0.001,0.020,0.024,0.009,0.000,0.267
0.084,0.105,0.000,0.004,0.002,0.005,0.000,3.128
0.088,0.108,0.000,0.009,0.004,0.004,0.000,2.500
0.084,0.105,0.000,0.007,0.005,0.005,0.000,1.614
0.084,0.118,0.000,0.009,0.004,0.004,0.000,0.597
0.108,0.119,0.000,0.010,0.004,0.003,0.000,3.189
0.150,0.156,0.000,0.025,0.028,0.011,0.000,0.011
0.164,0.112,0.001,0.008,0.001,0.006,0.000,0.012
0.093,0.124,0.000,0.015,0.016,0.007,0.000,0.025
