5.392,2.481,0.014,1.000,0.001,0.997,1.000,7502.520
3.482,1.826,0.009,1.000,0.041,0.845,1.000,7799.780
3.251,1.787,0.007,1.000,0.004,0.978,1.000,1.616
7.389,4.314,0.023,1.000,0.085,0.710,1.000,1.624
8.033,4.159,0.027,1.000,0.110,0.666,1.000,1.096
5.471,3.247,0.014,1.000,0.001,0.994,1.000,8.263
5.349,3.039,0.014,1.000,0.000,1.000,1.000,7.319
5.461,3.122,0.014,1.000,0.017,0.915,1.000,4.969
5.477,3.289,0.014,1.000,0.001,0.997,1.000,1.978
5.464,3.277,0.014,1.000,0.000,0.998,1.000,10.129
8.286,4.461,0.029,1.000,0.145,0.597,0.900,0.055
6.938,4.709,0.016,0.960,0.001,0.974,0.100,0.057
7.361,4.237,0.023,1.000,0.102,0.675,0.000,0.104
