BLOC_MCP,9.88 (0.094),4.04 (0.047),0.036 (0.000),0.67 (0.005),0.00 (0.000),0.79 (0.004),1.00 (0.000),7404.20 (4.106)
BLOC_SCAD,10.59 (0.930),4.32 (0.426),0.039 (0.004),0.73 (0.024),0.00 (0.001),0.83 (0.014),1.00 (0.000),7638.56 (20.714)
WeiZhaoMCP,8.76 (0.199),3.95 (0.167),0.039 (0.003),0.82 (0.013),0.14 (0.045),0.61 (0.037),1.00 (0.000),1.78 (0.019)
WeiZhaoMCP_Cov,10.11 (0.317),4.74 (0.198),0.053 (0.004),0.88 (0.016),0.34 (0.066),0.44 (0.051),1.00 (0.000),1.94 (0.056)
L1_ADMM,9.36 (0.313),4.31 (0.206),0.043 (0.002),0.85 (0.015),0.21 (0.034),0.54 (0.032),1.00 (0.000),1.09 (0.025)
Lq_BCD_half,8.86 (0.304),3.66 (0.195),0.032 (0.001),0.75 (0.005),0.02 (0.003),0.79 (0.011),1.00 (0.000),8.81 (0.191)
Lq_BCD_zero,9.35 (0.319),3.81 (0.210),0.034 (0.001),0.71 (0.011),0.02 (0.007),0.77 (0.014),1.00 (0.000),8.12 (0.180)
SCAD_BCD,8.43 (0.289),3.51 (0.179),0.031 (0.001),0.83 (0.004),0.05 (0.005),0.76 (0.014),1.00 (0.000),5.53 (0.084)
IRW_ADMM,8.53 (0.329),3.57 (0.204),0.031 (0.001),0.77 (0.012),0.07 (0.017),0.69 (0.028),1.00 (0.000),2.12 (0.029)
Trad_IRW,8.68 (0.356),3.63 (0.213),0.032 (0.002),0.74 (0.015),0.02 (0.013),0.79 (0.021),1.00 (0.000),12.03 (0.213)
soft_thres,9.75 (0.326),4.47 (0.196),0.045 (0.002),0.85 (0.012),0.21 (0.026),0.53 (0.023),0.40 (0.163),0.06 (0.003)
hard_thres,9.99 (0.418),4.21 (0.273),0.035 (0.002),0.65 (0.008),0.01 (0.002),0.74 (0.011),0.00 (0.000),0.06 (0.003)
SCAD_thres,9.58 (0.371),4.21 (0.231),0.041 (0.002),0.83 (0.007),0.15 (0.007),0.57 (0.010),0.00 (0.000),0.10 (0.002)
