BLOC_MCP,6.12 (0.883),2.88 (0.365),0.008 (0.001),1.00 (0.000),0.03 (0.007),0.89 (0.027),1.00 (0.000),53283.30 (2555.576)
BLOC_SCAD,4.75 (0.409),2.44 (0.256),0.006 (0.001),1.00 (0.000),0.03 (0.006),0.87 (0.024),1.00 (0.000),52966.10 (2362.879)
WeiZhaoMCP,3.35 (0.366),1.56 (0.241),0.004 (0.000),1.00 (0.000),0.00 (0.000),1.00 (0.000),1.00 (0.000),5.22 (0.041)
WeiZhaoMCP_Cov,11.87 (0.498),6.24 (0.351),0.017 (0.001),1.00 (0.000),0.04 (0.019),0.87 (0.040),1.00 (0.000),5.70 (0.146)
L1_ADMM,12.49 (0.352),6.37 (0.272),0.023 (0.002),1.00 (0.000),0.19 (0.032),0.56 (0.033),1.00 (0.000),7.10 (2.271)
Lq_BCD_half,9.22 (0.427),4.93 (0.387),0.012 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000),1.00 (0.000),36.47 (1.342)
Lq_BCD_zero,8.57 (0.480),4.87 (0.421),0.011 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000),1.00 (0.000),34.75 (0.988)
SCAD_BCD,8.88 (0.449),4.82 (0.406),0.012 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.001),1.00 (0.000),26.44 (2.604)
IRW_ADMM,8.77 (0.441),4.76 (0.402),0.012 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000),1.00 (0.000),10.42 (1.394)
Trad_IRW,8.95 (0.464),4.74 (0.353),0.012 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000),1.00 (0.000),53.54 (4.510)
soft_thres,13.35 (0.410),6.84 (0.291),0.025 (0.002),1.00 (0.000),0.20 (0.039),0.55 (0.043),0.30 (0.153),0.15 (0.011)
hard_thres,8.61 (0.476),4.88 (0.423),0.011 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000),0.60 (0.163),0.15 (0.013)
SCAD_thres,9.91 (0.490),5.57 (0.453),0.016 (0.001),1.00 (0.000),0.10 (0.018),0.69 (0.042),0.00 (0.000),0.27 (0.011)
