BLOC_MCP,4.10 (0.088),1.69 (0.078),0.017 (0.000),0.45 (0.020),0.00 (0.000),0.57 (0.015),1.00 (0.000),7944.62 (54.638)
BLOC_SCAD,5.42 (0.490),2.28 (0.239),0.023 (0.002),0.36 (0.043),0.00 (0.001),0.49 (0.034),1.00 (0.000),8982.13 (248.992)
WeiZhaoMCP,5.72 (0.129),2.46 (0.093),0.027 (0.000),0.35 (0.026),0.12 (0.022),0.29 (0.013),1.00 (0.000),1.79 (0.019)
WeiZhaoMCP_Cov,6.37 (0.152),2.69 (0.134),0.030 (0.000),0.37 (0.023),0.14 (0.020),0.28 (0.010),1.00 (0.000),1.97 (0.024)
L1_ADMM,6.46 (0.112),2.90 (0.113),0.032 (0.001),0.41 (0.020),0.18 (0.024),0.25 (0.009),1.00 (0.000),1.76 (0.267)
Lq_BCD_half,6.21 (0.084),2.44 (0.105),0.026 (0.000),0.22 (0.004),0.02 (0.002),0.33 (0.005),1.00 (0.000),16.74 (3.128)
Lq_BCD_zero,6.44 (0.088),2.43 (0.108),0.027 (0.000),0.21 (0.009),0.01 (0.004),0.34 (0.004),1.00 (0.000),14.33 (2.500)
SCAD_BCD,6.02 (0.084),2.37 (0.105),0.027 (0.000),0.30 (0.007),0.06 (0.005),0.32 (0.005),1.00 (0.000),8.61 (1.614)
IRW_ADMM,6.15 (0.084),2.38 (0.118),0.026 (0.000),0.22 (0.009),0.01 (0.004),0.34 (0.004),1.00 (0.000),3.82 (0.597)
Trad_IRW,6.20 (0.108),2.41 (0.119),0.026 (0.000),0.22 (0.010),0.01 (0.004),0.34 (0.003),1.00 (0.000),19.73 (3.189)
soft_thres,6.61 (0.150),2.91 (0.156),0.033 (0.000),0.43 (0.025),0.21 (0.028),0.24 (0.011),1.00 (0.000),0.08 (0.011)
hard_thres,6.97 (0.164),2.52 (0.112),0.029 (0.001),0.19 (0.008),0.00 (0.001),0.33 (0.006),0.00 (0.000),0.09 (0.012)
SCAD_thres,6.33 (0.093),2.57 (0.124),0.030 (0.000),0.38 (0.015),0.15 (0.016),0.27 (0.007),0.00 (0.000),0.17 (0.025)
