6.198,1.818,0.010,0.450,0.002,0.615,1.000,48452.500
6.137,1.802,0.009,0.422,0.001,0.596,1.000,34290.300
9.197,2.949,0.014,0.229,0.021,0.346,1.000,5.095
10.224,3.406,0.016,0.231,0.023,0.340,1.000,5.658
9.952,3.249,0.020,0.382,0.160,0.228,1.000,4.689
9.265,2.814,0.015,0.224,0.023,0.332,1.000,34.235
9.467,2.757,0.014,0.192,0.007,0.358,1.000,36.551
9.258,2.746,0.016,0.294,0.069,0.296,1.000,20.267
9.170,2.765,0.014,0.200,0.009,0.360,1.000,9.528
9.179,2.805,0.014,0.191,0.004,0.372,1.000,53.124
10.390,3.449,0.019,0.346,0.125,0.247,1.000,0.133
11.328,3.235,0.016,0.134,0.001,0.323,0.000,0.147
9.806,2.997,0.018,0.335,0.115,0.254,0.000,0.246
