BLOC_MCP,6.20 (0.077),1.82 (0.046),0.010 (0.000),0.45 (0.026),0.00 (0.001),0.61 (0.020),1.00 (0.000),48452.50 (3574.939)
BLOC_SCAD,6.14 (0.161),1.80 (0.083),0.009 (0.000),0.42 (0.023),0.00 (0.000),0.60 (0.018),1.00 (0.000),34290.30 (3066.436)
WeiZhaoMCP,9.20 (0.080),2.95 (0.047),0.014 (0.000),0.23 (0.003),0.02 (0.001),0.35 (0.006),1.00 (0.000),5.09 (0.027)
WeiZhaoMCP_Cov,10.22 (0.130),3.41 (0.073),0.016 (0.000),0.23 (0.004),0.02 (0.001),0.34 (0.005),1.00 (0.000),5.66 (0.051)
L1_ADMM,9.95 (0.112),3.25 (0.059),0.020 (0.000),0.38 (0.004),0.16 (0.003),0.23 (0.006),1.00 (0.000),4.69 (0.217)
Lq_BCD_half,9.27 (0.091),2.81 (0.061),0.015 (0.000),0.22 (0.002),0.02 (0.001),0.33 (0.005),1.00 (0.000),34.23 (0.920)
Lq_BCD_zero,9.47 (0.079),2.76 (0.061),0.014 (0.000),0.19 (0.002),0.01 (0.001),0.36 (0.003),1.00 (0.000),36.55 (1.096)
SCAD_BCD,9.26 (0.321),2.75 (0.138),0.016 (0.000),0.29 (0.016),0.07 (0.008),0.30 (0.008),1.00 (0.000),20.27 (0.473)
IRW_ADMM,9.17 (0.172),2.77 (0.092),0.014 (0.000),0.20 (0.006),0.01 (0.001),0.36 (0.005),1.00 (0.000),9.53 (0.256)
Trad_IRW,9.18 (0.085),2.81 (0.061),0.014 (0.000),0.19 (0.002),0.00 (0.000),0.37 (0.003),1.00 (0.000),53.12 (1.007)
soft_thres,10.39 (0.157),3.45 (0.074),0.019 (0.000),0.35 (0.011),0.12 (0.010),0.25 (0.010),1.00 (0.000),0.13 (0.005)
hard_thres,11.33 (0.166),3.23 (0.090),0.016 (0.000),0.13 (0.006),0.00 (0.001),0.32 (0.005),0.00 (0.000),0.15 (0.011)
SCAD_thres,9.81 (0.159),3.00 (0.102),0.018 (0.000),0.34 (0.014),0.12 (0.013),0.25 (0.013),0.00 (0.000),0.25 (0.009)
