7.936,5.7671,0.10218,0.9358,0.48166,0.43993,0.065886
7.1583,4.6962,0.079221,0.85432,0.28876,0.5302,0.035357
4.3879,2.228,0.047344,0.88395,0.2284,0.61794,0.033133
4.7934,2.8828,0.054401,0.90123,0.28876,0.57347,0.035576
5.3332,2.8015,0.059102,0.88148,0.17988,0.66831,0.033632
5.3139,2.8891,0.060705,0.88642,0.27929,0.56893,0.034326
5.0039,2.9146,0.053516,0.9284,0.20118,0.68617,0.032776
8.0873,5.4121,0.08186,0.74074,0.018935,0.77725,0.031897
5.606,2.8559,0.056248,0.83457,0.088757,0.74207,0.040967
8.0615,5.4279,0.080173,0.81728,0.073373,0.74988,0.03255
