6.5027,2.492,0.021502,0.84561,0.00193,0.89909,7469.6
4.9223,2.3867,0.019679,0.98713,0.11532,0.7443,14400
3.8161,1.5621,0.013721,0.96257,0.059831,0.82846,13748
7.0005,2.6006,0.023717,0.8117,0,0.88394,6669.5
4.8446,2.6297,0.019613,0.99064,0.1351,0.71633,14400
5.9852,2.4546,0.020046,0.86082,0,0.91476,7322.3
8.092,3.1533,0.026597,0.7731,0,0.85938,6304.5
4.5322,2.3479,0.016754,0.98012,0.070929,0.81796,14401
4.2596,2.117,0.015157,0.94971,0.04994,0.84099,14401
4.4437,2.6496,0.016677,0.99181,0.091918,0.78692,14401
