0.143,0.070,0.001,0.027,0.002,0.021,0.000,87.548
0.118,0.094,0.000,0.017,0.001,0.013,0.000,61.301
0.086,0.065,0.000,0.004,0.005,0.010,0.000,0.021
0.164,0.098,0.002,0.033,0.033,0.011,0.000,0.030
0.105,0.103,0.001,0.027,0.030,0.014,0.000,0.027
0.124,0.089,0.001,0.003,0.003,0.007,0.000,0.256
0.125,0.088,0.000,0.002,0.002,0.005,0.000,0.140
0.116,0.080,0.000,0.002,0.003,0.007,0.000,0.101
0.184,0.141,0.001,0.009,0.005,0.008,0.000,0.023
0.156,0.123,0.001,0.005,0.002,0.006,0.000,0.177
0.145,0.084,0.001,0.011,0.010,0.008,0.000,0.002
0.233,0.153,0.001,0.008,0.001,0.008,0.000,0.003
0.225,0.153,0.001,0.020,0.016,0.008,0.100,0.003
