BLOC_MCP,6.79 (0.889),2.26 (0.226),0.009 (0.001),0.93 (0.035),0.03 (0.006),0.85 (0.018),1.00 (0.000),45121.10 (5272.815)
BLOC_SCAD,5.83 (0.221),2.22 (0.181),0.008 (0.000),0.98 (0.003),0.04 (0.005),0.82 (0.016),1.00 (0.000),44685.60 (3164.055)
WeiZhaoMCP,11.27 (0.132),3.53 (0.042),0.016 (0.000),0.80 (0.005),0.02 (0.001),0.78 (0.006),1.00 (0.000),5.06 (0.035)
WeiZhaoMCP_Cov,12.46 (0.235),4.53 (0.095),0.017 (0.000),0.79 (0.006),0.02 (0.001),0.77 (0.005),1.00 (0.000),5.82 (0.046)
L1_ADMM,10.80 (0.204),3.93 (0.093),0.019 (0.000),0.89 (0.005),0.16 (0.005),0.50 (0.009),1.00 (0.000),4.87 (0.085)
Lq_BCD_half,9.09 (0.177),3.11 (0.096),0.012 (0.000),0.88 (0.004),0.02 (0.001),0.83 (0.006),1.00 (0.000),37.62 (0.506)
Lq_BCD_zero,9.79 (0.165),3.24 (0.095),0.013 (0.000),0.80 (0.004),0.01 (0.000),0.85 (0.004),1.00 (0.000),36.68 (0.451)
SCAD_BCD,9.18 (0.473),3.17 (0.132),0.013 (0.000),0.90 (0.023),0.08 (0.017),0.69 (0.040),1.00 (0.000),24.19 (0.494)
IRW_ADMM,8.96 (0.161),3.01 (0.086),0.012 (0.000),0.81 (0.005),0.02 (0.001),0.77 (0.006),1.00 (0.000),10.00 (0.143)
Trad_IRW,9.13 (0.162),3.07 (0.086),0.012 (0.000),0.79 (0.005),0.00 (0.000),0.87 (0.003),1.00 (0.000),59.31 (0.809)
soft_thres,11.37 (0.225),4.14 (0.094),0.019 (0.000),0.87 (0.006),0.13 (0.003),0.53 (0.007),0.00 (0.000),0.13 (0.003)
hard_thres,10.71 (0.254),3.25 (0.102),0.013 (0.000),0.67 (0.016),0.00 (0.001),0.79 (0.007),0.00 (0.000),0.14 (0.006)
SCAD_thres,9.77 (0.155),3.39 (0.126),0.016 (0.000),0.87 (0.006),0.13 (0.003),0.53 (0.007),0.00 (0.000),0.26 (0.009)
