BLOC_MCP,5.51 (0.143),2.33 (0.070),0.023 (0.001),0.42 (0.027),0.00 (0.002),0.53 (0.021),1.00 (0.000),8034.35 (87.548)
BLOC_SCAD,5.41 (0.118),2.23 (0.094),0.022 (0.000),0.44 (0.017),0.00 (0.001),0.55 (0.013),1.00 (0.000),8111.07 (61.301)
WeiZhaoMCP,7.34 (0.086),3.21 (0.065),0.034 (0.000),0.30 (0.004),0.10 (0.005),0.25 (0.010),1.00 (0.000),1.69 (0.021)
WeiZhaoMCP_Cov,8.63 (0.164),3.64 (0.098),0.042 (0.002),0.37 (0.033),0.18 (0.033),0.23 (0.011),1.00 (0.000),1.75 (0.030)
L1_ADMM,8.53 (0.105),3.70 (0.103),0.040 (0.001),0.34 (0.027),0.15 (0.030),0.23 (0.014),1.00 (0.000),1.02 (0.027)
Lq_BCD_half,8.32 (0.124),3.30 (0.089),0.034 (0.001),0.18 (0.003),0.02 (0.003),0.28 (0.007),1.00 (0.000),8.05 (0.256)
Lq_BCD_zero,8.48 (0.125),3.24 (0.088),0.035 (0.000),0.16 (0.002),0.01 (0.002),0.29 (0.005),1.00 (0.000),7.20 (0.140)
SCAD_BCD,8.36 (0.116),3.39 (0.080),0.035 (0.000),0.21 (0.002),0.03 (0.003),0.29 (0.007),1.00 (0.000),4.62 (0.101)
IRW_ADMM,8.13 (0.184),3.13 (0.141),0.034 (0.001),0.19 (0.009),0.02 (0.005),0.29 (0.008),1.00 (0.000),1.99 (0.023)
Trad_IRW,8.14 (0.156),3.19 (0.123),0.033 (0.001),0.17 (0.005),0.01 (0.002),0.30 (0.006),1.00 (0.000),10.61 (0.177)
soft_thres,8.77 (0.145),3.81 (0.084),0.040 (0.001),0.34 (0.011),0.14 (0.010),0.23 (0.008),1.00 (0.000),0.05 (0.002)
hard_thres,9.88 (0.233),3.52 (0.153),0.039 (0.001),0.14 (0.008),0.01 (0.001),0.27 (0.008),0.00 (0.000),0.06 (0.003)
SCAD_thres,8.99 (0.225),3.62 (0.153),0.040 (0.001),0.32 (0.020),0.12 (0.016),0.24 (0.008),0.10 (0.100),0.10 (0.003)
