BLOC_SCAD,4.21 (0.160),2.10 (0.198),0.046 (0.002),0.41 (0.029),0.00 (0.002),0.40 (0.020)
BLOC_MCP,4.19 (0.175),2.12 (0.199),0.046 (0.002),0.37 (0.026),0.00 (0.001),0.38 (0.017)
L1_ADMM,5.34 (0.132),2.96 (0.141),0.065 (0.001),0.47 (0.033),0.22 (0.037),0.23 (0.016)
Lq_BCD_half,5.55 (0.135),2.87 (0.113),0.063 (0.001),0.26 (0.020),0.04 (0.011),0.25 (0.008)
Lq_BCD_zero,5.63 (0.152),2.79 (0.133),0.063 (0.002),0.23 (0.015),0.02 (0.006),0.25 (0.008)
SCAD_BCD,5.61 (0.168),2.93 (0.185),0.064 (0.002),0.32 (0.039),0.08 (0.030),0.26 (0.010)
IRW_ADMM,5.50 (0.156),2.80 (0.148),0.062 (0.002),0.24 (0.019),0.02 (0.012),0.25 (0.009)
Trad_IRW,5.35 (0.134),2.69 (0.110),0.060 (0.001),0.24 (0.013),0.02 (0.006),0.26 (0.009)
soft_thres,5.56 (0.142),3.15 (0.156),0.066 (0.001),0.43 (0.023),0.17 (0.025),0.25 (0.016)
hard_thres,6.35 (0.197),3.10 (0.156),0.070 (0.002),0.22 (0.017),0.02 (0.007),0.25 (0.009)
SCAD_thres,5.93 (0.228),3.22 (0.249),0.069 (0.003),0.41 (0.037),0.15 (0.033),0.25 (0.013)
