0.094,0.047,0.000,0.005,0.000,0.004,0.000,4.106
0.930,0.426,0.004,0.024,0.001,0.014,0.000,20.714
0.199,0.167,0.003,0.013,0.045,0.037,0.000,0.019
0.317,0.198,0.004,0.016,0.066,0.051,0.000,0.056
0.313,0.206,0.002,0.015,0.034,0.032,0.000,0.025
0.304,0.195,0.001,0.005,0.003,0.011,0.000,0.191
0.319,0.210,0.001,0.011,0.007,0.014,0.000,0.180
0.289,0.179,0.001,0.004,0.005,0.014,0.000,0.084
0.329,0.204,0.001,0.012,0.017,0.028,0.000,0.029
0.356,0.213,0.002,0.015,0.013,0.021,0.000,0.213
0.326,0.196,0.002,0.012,0.026,0.023,0.163,0.003
0.418,0.273,0.002,0.008,0.002,0.011,0.000,0.003
0.371,0.231,0.002,0.007,0.007,0.010,0.000,0.002
