BLOC_SCAD,1.31 (0.072),0.60 (0.052),0.006 (0.000),1.00 (0.000),0.02 (0.003),0.91 (0.015)
BLOC_MCP,1.15 (0.100),0.54 (0.079),0.005 (0.000),1.00 (0.000),0.01 (0.003),0.95 (0.015)
L1_ADMM,4.20 (0.108),2.12 (0.075),0.030 (0.002),1.00 (0.000),0.15 (0.033),0.58 (0.040)
Lq_BCD_half,3.04 (0.098),1.67 (0.099),0.016 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.000)
Lq_BCD_zero,2.95 (0.105),1.59 (0.086),0.015 (0.001),1.00 (0.000),0.00 (0.000),1.00 (0.001)
SCAD_BCD,3.20 (0.173),1.74 (0.153),0.017 (0.001),1.00 (0.000),0.02 (0.004),0.91 (0.018)
IRW_ADMM,3.10 (0.118),1.68 (0.099),0.016 (0.001),1.00 (0.000),0.00 (0.002),0.98 (0.012)
Trad_IRW,3.22 (0.118),1.75 (0.092),0.017 (0.001),1.00 (0.000),0.00 (0.002),0.99 (0.009)
soft_thres,4.51 (0.139),2.32 (0.117),0.032 (0.002),1.00 (0.000),0.15 (0.022),0.57 (0.035)
hard_thres,3.61 (0.175),2.14 (0.186),0.018 (0.001),0.98 (0.008),0.01 (0.002),0.95 (0.009)
SCAD_thres,4.04 (0.143),2.28 (0.104),0.027 (0.002),1.00 (0.000),0.14 (0.022),0.59 (0.033)
