TPR,FPR,MCC,RMSE,MAD,Comp_time
0.7,0.0555555555555556,0.504166777899224,0.0477340705516518,0.0110812089419777,15381.1389869
1,0.105555555555556,0.555363951633473,0.0333684123772703,0.00975595917496436,15788.704141
0.5,0.0333333333333333,0.446190352171298,0.0744886390204948,0.016607848223535,14875.9252702
0.8,0.0666666666666667,0.533578375079933,0.0502461692661013,0.0123010032398615,15330.1758813
0.7,0.0444444444444444,0.542851573349319,0.0611702086712594,0.0150156681810448,15859.5074848
0.9,0.177777777777778,0.392032468499295,0.0613199272707195,0.0215614688407313,14874.346643
0.7,0.00555555555555556,0.772134704855314,0.0618804330199168,0.0115610354713508,15131.2170187
0.8,0.0555555555555556,0.56763356734914,0.0664331888273347,0.0171559226013656,15913.8528518
0.9,0.0833333333333333,0.548935625811571,0.054538831708827,0.0151647749674746,14376.4825048
0.9,0.0833333333333333,0.548935625811571,0.0605709358668119,0.0166796766212998,15283.51357
