"TPR","FPR","MCC","RMSE","MAD","Comp_time"
0.8,0.0108333333333333,0.689182534180382,0.0363801470213375,0.00451359708149407,828.03
0.84,0.0166666666666667,0.647244764785038,0.030961332976333,0.00410520339167197,949.86
0.84,0.0116666666666667,0.703004755513439,0.0344028868399179,0.0042689594500117,844.76
0.84,0.00583333333333333,0.789200529417922,0.0383127598775845,0.00496617401806855,803.73
0.84,0.0075,0.76155327398767,0.0321660023023373,0.00387069925637307,966.89
0.92,0.0125,0.740099487177268,0.0295595010803343,0.00408529548954258,931.08
0.8,0.0116666666666667,0.678539568776465,0.0349366107884492,0.00446661157195574,894.57
0.96,0.00416666666666667,0.888951793410836,0.032430593314716,0.00396226618433624,630.18
0.72,0.00833333333333333,0.673303948174731,0.0378502391446987,0.00500016515706391,775.71
0.92,0.01,0.772315083521806,0.0288529924466165,0.00362173668940664,462.45
