TPR,FPR,MCC,RMSE,MAD,Comp_time
0.8,0.0416666666666667,0.461934885437156,0.031068896437366,0.00500893545236015,34799.623642
0.8,0.045,0.44807844996248,0.0325107295716169,0.00492911936757217,45260.256024
0.72,0.04,0.425849218234707,0.0325892040549138,0.00476535768184981,48681.000061
0.8,0.0433333333333333,0.454866892632526,0.0279405419342484,0.00454379764332753,51730.567973
0.84,0.0441666666666667,0.472312273415197,0.0262722176331446,0.00463884931568896,47644.542688
0.72,0.0666666666666667,0.340502612303499,0.0336843880171335,0.00599680879001503,31959.344071
0.52,0.0291666666666667,0.357672727069618,0.0415436497137481,0.00607280583982605,31880.706601
0.8,0.0783333333333333,0.351226938534083,0.0322368092219077,0.00585371582944513,31875.995139
0.6,0.03,0.403474736398843,0.0413963774728135,0.00619077853045211,23561.966982
0.76,0.0691666666666667,0.353544388004635,0.0319848027719786,0.00574534344992344,32059.619912
