Row,Comp_time
BLOC_MCP,37945 (3006.9)
BLOC_SCAD,32320 (5856.4)
LLA_MM_MCP,8306 (51.4)
LLA_MM_SCAD,13657 (328.0)
SpCov,809 (49.6)
