Row,TPR,FPR,MCC,RMSE,MAD
BLOC_MCP,0.73 (0.045),0.06 (0.016),0.56 (0.024),0.061 (0.002),0.015 (0.001)
BLOC_SCAD,0.79 (0.046),0.07 (0.015),0.54 (0.031),0.057 (0.004),0.015 (0.001)
LLA_MM_MCP,0.82 (0.033),0.05 (0.017),0.65 (0.045),0.052 (0.004),0.012 (0.002)
LLA_MM_SCAD,0.78 (0.047),0.06 (0.019),0.60 (0.049),0.057 (0.005),0.014 (0.001)
SpCov,0.57 (0.050),0.02 (0.004),0.59 (0.039),0.069 (0.003),0.015 (0.001)
