TPR,FPR,MCC,RMSE,MAD,Comp_time
0.7,0.0388888888888889,0.565054524945705,0.0509698178607102,0.0112745429978689,14632.4321666
0.7,0.0333333333333333,0.589639656015528,0.0548621249595265,0.0111519139936424,14674.1770739
0.5,0.0222222222222222,0.502228849839742,0.0649651361004572,0.0140955535036999,14454.3062951
0.7,0.0222222222222222,0.648038368629742,0.0506165702579798,0.0103494804200033,14512.3557921
0.7,0.0666666666666667,0.471404520791032,0.0591403954392112,0.015477192314487,14747.4534228
1,0.166666666666667,0.456435464587638,0.0647096226746789,0.0225692969191436,14357.051362
0.6,0.0166666666666667,0.613186386432243,0.061508335974156,0.0114555100399006,14303.9401622
0.9,0.116666666666667,0.479691741295039,0.0698130471933903,0.0229145390055629,14781.0058547
0.7,0.0222222222222222,0.648038368629742,0.0688703885817605,0.014759333765367,13934.2945363
0.8,0.0444444444444444,0.607530436408084,0.068187705487123,0.016295202275445,14658.6997576
