TPR,FPR,MCC,RMSE,MAD,Comp_time
0.89,0.352,0.30121167955207,0.065309663355559,0.029569869831257,43097.732618
0.89,0.376,0.285338014427116,0.0729516658830711,0.0346047617270778,38792.899488
0.85,0.282666666666667,0.330617722912918,0.067592806286571,0.0275687381704603,42529.193328
0.91,0.288,0.35983225304949,0.0628021860621257,0.0268317409897631,42118.603835
0.85,0.363555555555556,0.271510947974157,0.0633432111168301,0.0295508251714819,40901.439558
0.73,0.218666666666667,0.319022214776661,0.0841453190059797,0.027705022684096,39362.565582
0.89,0.297777777777778,0.340848804020128,0.0560078990302523,0.0247780492518201,62310.940841
0.87,0.322666666666667,0.31086444394456,0.064145492556388,0.0276864201901589,40264.532066
0.88,0.304888888888889,0.329745694114678,0.0539461628289944,0.0244586469036452,40298.912525
0.92,0.36,0.312262911145624,0.0597508400440224,0.0281454366777541,39283.885938
