TPR,FPR,MCC,RMSE,MAD,Comp_time
0.775,0.34,0.358051978785476,0.0927594671237322,0.0447391015128986,46990.29492
0.7,0.186666666666667,0.45901690318869,0.0879285082703581,0.0358880126034988,43808.3549613
0.8,0.24,0.476243740420067,0.0718053977865113,0.0317267631701248,53434.4863318
0.775,0.186666666666667,0.518367096233033,0.0983206550318521,0.0400646441313001,45736.6255276
0.775,0.206666666666667,0.494171760794429,0.102029624213589,0.0385343590082789,56574.7854075
0.775,0.32,0.376367389535247,0.0715561420728051,0.0332097072322986,47540.4706743
0.75,0.22,0.458964779603387,0.0836137006186965,0.0347666009701446,53305.6070932
0.8,0.306666666666667,0.408846018881274,0.0742953662952482,0.0372137160178878,53588.3614607
0.85,0.26,0.494507947652548,0.0897124770519822,0.0413772149128937,52905.9051583
0.85,0.206666666666667,0.552840682758442,0.0861121981290323,0.0389455807729348,51786.4049942
