TPR,FPR,MCC,RMSE,MAD,Comp_time
0.893939393939394,0.492424242424242,0.157383821823001,0.0503295246855072,0.0291011435969835,80010.281862
0.823232323232323,0.138047138047138,0.361334331328054,0.0348473958334205,0.0102561144891268,194697.605102
0.883838383838384,0.381102693602694,0.200993404808637,0.0407225527930208,0.0204762404119527,184533.188442
0.883838383838384,0.338594276094276,0.222540424350862,0.0389389439793853,0.018464511365668,186214.967584
0.767676767676768,0.0976430976430976,0.397770552567666,0.0340377228612873,0.00816828824485274,174047.456896
0.954545454545455,0.679082491582492,0.116724605521903,0.0616921430989118,0.042212997204367,80005.235896
0.934343434343434,0.624158249158249,0.126372355171164,0.0578239246301609,0.0380532711667306,80005.252677
0.898989898989899,0.587542087542088,0.124579124579125,0.0555934424010166,0.0347329184544444,80004.918946
0.944444444444444,0.683922558922559,0.110816848135009,0.0629254419110496,0.0435345993857487,80005.898546
0.934343434343434,0.590277777777778,0.137863248071886,0.0551737581762563,0.0352137736635429,80008.688763
