Row,TPR,FPR,MCC,RMSE,MAD
BLOC_MCP,0.83 (0.022),0.26 (0.029),0.35 (0.017),0.066 (0.003),0.026 (0.001)
BLOC_SCAD,0.87 (0.017),0.32 (0.015),0.32 (0.008),0.065 (0.003),0.028 (0.001)
LLA_MM_MCP,0.79 (0.007),0.16 (0.003),0.42 (0.008),0.040 (0.001),0.012 (0.000)
LLA_MM_SCAD,0.80 (0.007),0.16 (0.004),0.43 (0.006),0.047 (0.002),0.013 (0.000)
SpCov,0.25 (0.129),0.13 (0.086),0.12 (0.069),0.117 (0.011),0.034 (0.003)
