TPR,FPR,MCC,RMSE,MAD,Comp_time
0.725,0.2,0.46256553913146,0.102019017187391,0.0411147068048012,48815.7674323
0.7,0.24,0.396787696621854,0.0875245674633488,0.0368019353271463,48962.4389286
0.8,0.18,0.546267874783819,0.072490141080997,0.0298528681127421,54198.6356025
0.775,0.206666666666667,0.494171760794429,0.0814833516406706,0.0337260461778418,50978.0076667
0.775,0.22,0.478732981793758,0.0976664702900457,0.037884468634944,56714.0604141
0.75,0.206666666666667,0.47444098864348,0.0922247588197009,0.0377732829313701,52789.3837343
0.725,0.186666666666667,0.478920744346159,0.0844849714590058,0.0344221445299606,54550.6825691
0.85,0.333333333333333,0.424124629216597,0.0644131358602029,0.0333514668153461,53669.2038793
0.775,0.18,0.526734334898655,0.0970108942738623,0.0402700096392209,55427.4556307
0.8,0.286666666666667,0.42814959686386,0.0782564769893589,0.0384609187770021,52117.9191742
